cell_id,m,rho,policy,n_replicates,n_cycles,burn_in,master_seed,mean_reference_error,mean_reference_error_ci_low,mean_reference_error_ci_high,mean_reference_error_replicate_sd,sd_reference_error,sd_reference_error_ci_low,sd_reference_error_ci_high,sd_reference_error_replicate_sd,rmse_reference_error,rmse_reference_error_ci_low,rmse_reference_error_ci_high,rmse_reference_error_replicate_sd,cycle_arl,cycle_arl_ci_low,cycle_arl_ci_high,cycle_arl_replicate_sd,median_tau,median_tau_ci_low,median_tau_ci_high,median_tau_replicate_sd,alternation_rate,alternation_rate_ci_low,alternation_rate_ci_high,alternation_rate_replicate_sd,alarm_up_proportion,alarm_up_proportion_ci_low,alarm_up_proportion_ci_high,alarm_up_proportion_replicate_sd,acf_e_lag1,acf_e_lag1_ci_low,acf_e_lag1_ci_high,acf_e_lag1_replicate_sd,acf_e_lag2,acf_e_lag2_ci_low,acf_e_lag2_ci_high,acf_e_lag2_replicate_sd,acf_e_lag3,acf_e_lag3_ci_low,acf_e_lag3_ci_high,acf_e_lag3_replicate_sd,acf_direction_lag1,acf_direction_lag1_ci_low,acf_direction_lag1_ci_high,acf_direction_lag1_replicate_sd,fraction_abs_e_gt_1,fraction_abs_e_gt_1_ci_low,fraction_abs_e_gt_1_ci_high,fraction_abs_e_gt_1_replicate_sd
gate4.1-pilot-ca0b95d6a9c0,5,0.1,partial_reuse,20,500,200,20260820,2.888701834218117e-05,-0.005030020803462765,0.004759438721112238,0.011518622415365639,0.41416455718201456,0.4095434841134585,0.41882783705178595,0.011131352073973106,0.4139021511295735,0.4093511452850462,0.4184327017833601,0.011133020806853034,174.2927,169.96108749999996,179.46961249999998,11.104545399828043,67.625,64.824375,70.675625,6.682410138801561,0.5798597194388776,0.5689378757515031,0.5909819639278557,0.0257565197194819,0.5031,0.4958,0.5108,0.017561620833960345,-0.11988533753730582,-0.13826244174261734,-0.10058133376218562,0.044228630838946625,0.012235393557109845,-0.004893314269443084,0.029890787089755726,0.04153287810206709,0.012725522251460411,-0.003419308115662554,0.02977516441122779,0.04004816707304346,-0.16080459170538539,-0.18370602985765544,-0.13816622982067092,0.05217361435405506,0.016600000000000004,0.014897500000000006,0.0187,0.004546832327074126
gate4.1-pilot-97292ca27f72,5,0.25,partial_reuse,20,500,200,20260820,-0.000210594503228079,-0.00416550157785307,0.0035210908477525415,0.009107043457391118,0.4109817310910803,0.40661636443650206,0.41537430228705485,0.010186152368578028,0.4106672596731317,0.40655607671086025,0.41502986389176144,0.010145339121474552,171.46049999999997,167.24739749999998,176.080085,10.16432120859917,66.675,63.6,69.475625,6.667428684519834,0.7260521042084169,0.7161322645290581,0.73687625250501,0.023551638113034387,0.5017,0.49669999999999986,0.5068,0.012126959960960417,-0.3147254775395797,-0.3340268258140753,-0.29638250151684403,0.04445117423684754,0.12091927444940417,0.10099214579729578,0.13976944217827258,0.046478074222637424,-0.05151650262742487,-0.06924900655838974,-0.03338020175645557,0.042760757304871125,-0.4520305890112352,-0.4729895977230378,-0.4311009193781439,0.04744668674884385,0.0126,0.0108,0.014600000000000002,0.004546832327074126
gate4.1-pilot-41be98d7d057,5,0.5,partial_reuse,20,500,200,20260820,-0.001410840568589591,-0.006296407285105462,0.0033802091145309623,0.011343643375349736,0.49498690649551624,0.4919011634757844,0.4982048662741203,0.007515437767445352,0.4946164845778126,0.49139416485916465,0.49773109161391355,0.007562505414325974,125.8808,120.995195,131.43584749999997,11.777600996003073,40.9,39.599375,42.250625,3.0633658818880565,0.8965931863727455,0.8901803607214429,0.9036072144288578,0.015997748318156983,0.5,0.4971,0.5027999999999999,0.006712125712391526,-0.527466516016475,-0.5411728416212129,-0.5137993008920645,0.031530825216856066,0.43788657726173985,0.4132422870163534,0.4627236294495914,0.05828208695179734,-0.33320042246451126,-0.3614327960870895,-0.303857226480678,0.06702026826320479,-0.7918894452199791,-0.8063112665241887,-0.7781920592090759,0.031926633127457076,0.020900000000000002,0.0188,0.022800000000000004,0.004655500425359911
gate4.1-pilot-e866825ee0b8,5,1.0,full_reuse,20,500,200,20260820,0.0005194613720728304,-0.013666712545747856,0.01535203900210035,0.034129148248477,0.7438504310125238,0.7394428768905934,0.7482899262702783,0.010063359289688753,0.7438545207639773,0.7395903524044374,0.7479815687181526,0.00974045369388909,82.4926,79.59332,85.459805,6.995519411135884,19.175,18.775,19.55,0.8777213321106565,0.92374749498998,0.9185370741482967,0.9292585170340681,0.012514603807424505,0.4991,0.49709999999999993,0.5012000000000001,0.004833000593507324,-0.49972454566608215,-0.512651919843369,-0.48729496238887887,0.02994388425220089,0.516571939777547,0.49218861176029194,0.5411885439451224,0.05723897233846113,-0.4172830949828198,-0.4349322440128037,-0.39860829905342315,0.04122970129101409,-0.8459707479068788,-0.856931590896266,-0.8351069340763103,0.024974778386514657,0.1882,0.1815975,0.19480000000000003,0.015504159034543637
gate4.1-pilot-fc82ef72057c,10,0.0,fresh,20,500,200,20260820,-0.0006966302950412919,-0.0051028073236817455,0.0036025944557875654,0.010492631748705393,0.31740727267175833,0.31352978403494947,0.32136295903790846,0.009254706861204796,0.31725553424982683,0.31335494902741323,0.32107579192690866,0.009238831830716446,212.30599999999995,206.56270500000002,217.97269,12.833785493971105,97.175,93.149375,101.25,9.78757940076686,0.5014028056112224,0.49288326653306597,0.5104233466933867,0.021024246461175032,0.5067999999999999,0.4999975,0.5136,0.01612320981494822,0.0013479175592967462,-0.015972675311047534,0.018681723940373558,0.04145029341128527,-0.00826693267726469,-0.026476708372837204,0.010500842765013656,0.04424683033532121,0.008339997062917225,-0.008645803558597029,0.025290940389203577,0.040393043957100305,-0.003979964721507129,-0.02202842638226553,0.014297072439411165,0.04184045998538597,0.0019000000000000002,0.001,0.0031000000000000003,0.002468752081944492
gate4.1-pilot-50edbc856820,10,0.02,partial_reuse,20,500,200,20260820,-0.0004924284436518324,-0.0047111020927927605,0.0035509312851964504,0.010017261704298619,0.3113755711189447,0.30761533876696795,0.31527864855795257,0.009106301487993936,0.3112177342225936,0.30737890998312556,0.3149104393058135,0.009093107691604716,215.54629999999997,210.0717425,220.35096500000003,11.736818940949524,101.725,97.9,105.700625,9.279965687323134,0.5175350701402806,0.505508517034068,0.5307640280561121,0.029602215002460314,0.5067,0.4987000000000001,0.5144000000000001,0.018425097300321536,-0.02116294693482252,-0.03861022841934918,-0.003711651289065649,0.04158103275585961,-0.0076943655620629,-0.0261717240623246,0.011469403234751796,0.0449067937511956,0.009276107903616704,-0.007870062416762245,0.02649196362238895,0.04096495584259601,-0.03652433783798348,-0.06365551874865145,-0.011959655190737462,0.05932060462443766,0.0017000000000000001,0.0009000000000000001,0.0027,0.0021788456625132105
gate4.1-pilot-5164f7936693,10,0.05,partial_reuse,20,500,200,20260820,-0.0003342893365566102,-0.004314340539875722,0.0035432942324213827,0.00944698036038739,0.30324502368644746,0.29973431956318747,0.30691494108875683,0.008521670673198239,0.3030817968524514,0.29947887672893003,0.30670696756487387,0.008509968492129498,216.14489999999995,211.63859999999997,220.59020249999995,10.391167939522887,105.25,101.75,108.925625,8.603090020146066,0.5396793587174349,0.5325626252505009,0.548496993987976,0.018901301189527972,0.5044000000000002,0.4982000000000001,0.5108,0.014833816274416987,-0.05671050808207688,-0.07420541111321292,-0.03953061236908112,0.0411180242303735,-0.004783003918739962,-0.02245427592227367,0.013451598612139916,0.042912543141855476,0.012913767317416568,-0.004794262195527986,0.030852961812410363,0.04332093616570256,-0.08019096972667188,-0.0976426295879218,-0.0652455675063677,0.03824788136731336,0.0013000000000000002,0.0005,0.002300000000000001,0.002178845662513211
gate4.1-pilot-a18681a54032,10,0.1,partial_reuse,20,500,200,20260820,-0.0003469764451575698,-0.003853512160297676,0.0032745076292020766,0.008511392785358063,0.29363102270358665,0.28983090164083475,0.2973512188842254,0.009097341357559303,0.2934550084493024,0.2897539680447779,0.29710605407589125,0.009078920416837048,221.5809,216.30664749999997,227.0913825,12.515618360146739,106.925,103.374375,110.350625,8.176144696937742,0.5819639278557115,0.5728456913827655,0.5925901803607215,0.023857487404588817,0.5022,0.4960974999999999,0.5082000000000001,0.014420745290616656,-0.12006895568876168,-0.13784808187219616,-0.10247593178398935,0.04118171835397698,0.0043210765282436035,-0.015616574466117363,0.02466701580582331,0.048030120549313354,0.011676024270273547,-0.010341161289438818,0.03374659030491021,0.05254588369337977,-0.16453755281093235,-0.18792262045181377,-0.14604658419667244,0.04781337629249596,0.0007,0.0002,0.0013000000000000002,0.0013416407864998735
gate4.1-pilot-3bfe6fc600ec,10,0.25,partial_reuse,20,500,200,20260820,0.0014743213141931678,-0.0008831238255276734,0.0038089814600357984,0.005452601188677386,0.2897241652320858,0.28643863641971634,0.29310325236819135,0.00785204532175453,0.2894864894293301,0.2861348524641017,0.29285025358633576,0.007857738708118551,218.32239999999996,214.1988425,222.4894375,9.796378140602995,107.775,105.175,110.175,5.845544862272644,0.7220440881763527,0.7138276553106213,0.7307640280561122,0.019452410700719444,0.5038999999999999,0.4978000000000001,0.51,0.014443720179772914,-0.31619701187083704,-0.3344380455123734,-0.29796206678280984,0.04323017273919021,0.11437761223056922,0.09221998615796452,0.13500616143926508,0.05124404641453456,-0.036873933451258264,-0.05994518415340071,-0.013134144318632414,0.05436692519070204,-0.4444153002112639,-0.46187660615858633,-0.4271216292027905,0.039162768088668774,0.0005,0.0,0.0010999999999999998,0.0012773327473170103
gate4.1-pilot-2f88f2a8207a,10,0.5,partial_reuse,20,500,200,20260820,-0.0013504263991878007,-0.004475452148365821,0.0021821720015482936,0.0077001940091371325,0.3432484368321316,0.3409133338854275,0.3454346298823412,0.005505826038960499,0.3429901552442321,0.34053709644294594,0.34524194163911276,0.0054769009520906345,165.14200000000002,161.44089999999997,168.86200750000003,8.887849138896849,74.075,72.1,76.075625,4.799328352132092,0.8981963927855711,0.8905811623246492,0.9051127254509018,0.017622321237460666,0.5005999999999999,0.4978974999999999,0.5035,0.006620542194365088,-0.5565147510057088,-0.5760094012719138,-0.5359950664228341,0.04653561388733224,0.46169349535871973,0.4374041240059699,0.48399658729429457,0.052837162762030015,-0.3632390162028202,-0.3840494412124713,-0.3405786648462772,0.05142024286048546,-0.7950876989125404,-0.8086063013891164,-0.7782921030416258,0.03522581292175368,0.0,0.0,0.0,0.0
gate4.1-pilot-dad32849cf6b,10,1.0,full_reuse,20,500,200,20260820,-0.0054408699605984585,-0.01141695202537033,-3.8930785794591236e-05,0.01335220683135473,0.5093386137933423,0.505835486520515,0.512617063396372,0.007984140169147048,0.5090231911281382,0.5054928174791944,0.5124621071634312,0.008063642945189256,102.8243,99.29505250000001,105.98263999999999,7.828486720070221,35.9,34.95,36.9,2.314712668311578,0.9432865731462925,0.9380761523046092,0.9480986973947897,0.012457469828038057,0.501,0.4993,0.5027,0.003811340418996145,-0.5679557829552644,-0.5856905715489138,-0.5513828757793743,0.039711725710346285,0.6307599531018961,0.6064884476250216,0.6555907375171175,0.0584934797511142,-0.5088107801869295,-0.53180315305575,-0.48608372257844495,0.05487471391224087,-0.8849105583615359,-0.8954999876349914,-0.8739591588153517,0.024836168962509567,0.012100000000000001,0.009600000000000001,0.014799999999999999,0.006239939270959546
gate4.1-pilot-c7bef51cf5ad,20,0.0,fresh,20,500,200,20260820,-0.0004925920056036829,-0.003608229661663741,0.0025474189695524475,0.0074194110620028455,0.22444083490412786,0.22169903639506652,0.22723792755787972,0.006544065979451583,0.22433353963701355,0.2215754093756489,0.22703486974635803,0.006532840637741727,269.07329999999996,263.8456425,274.11947499999997,12.39936584583854,155.575,151.474375,159.175,8.965247229984058,0.5009018036072144,0.4902805611222445,0.5117234468937875,0.02489011245423176,0.5033000000000001,0.49590000000000006,0.5103025000000001,0.017208015268289505,0.0013479175592967516,-0.015972675311047527,0.018681723940373565,0.04145029341128527,-0.008266932677264697,-0.026476708372837204,0.010500842765013656,0.04424683033532122,0.008339997062917225,-0.008645803558597034,0.02529094038920356,0.040393043957100305,-0.0029755079758764934,-0.025816977161769363,0.01810827366400199,0.05024772161637636,0.0,0.0,0.0,0.0
gate4.1-pilot-d5c94d448aec,20,0.02,partial_reuse,20,500,200,20260820,-0.0004124720889014472,-0.003442986787392858,0.0025460548662714407,0.007194113256006871,0.22007698785273097,0.21741776062949802,0.22276242783854613,0.00635541294936761,0.219969090123947,0.21731545335909788,0.22258346602685866,0.006344895448989384,271.2262999999999,265.41702250000003,276.60101499999996,13.246141464393958,154.225,150.074375,158.300625,9.865510096983543,0.5128256513026053,0.5040080160320641,0.5218436873747494,0.021306865918373465,0.5072,0.4993,0.5148025,0.017881481158479384,-0.016508865451773047,-0.03390821996252239,0.0010416118660375678,0.041340244300399946,-0.007883550955458977,-0.02604579893863169,0.010819052785260871,0.04367526136249581,0.009159316292824404,-0.00790268278706069,0.02616239643279524,0.04041895381446069,-0.027086608763320502,-0.045706866656667414,-0.008464287282410833,0.04310027241631038,0.0,0.0,0.0,0.0
gate4.1-pilot-89172df661f4,20,0.05,partial_reuse,20,500,200,20260820,-6.130963593404477e-05,-0.0028914055446731812,0.002668908889657217,0.006723625267890083,0.21405755588403458,0.2116647534162711,0.21650633339251746,0.005773274979593432,0.21394395841464683,0.2115741592323837,0.2162986290506596,0.005761030032772551,275.1663,270.86127999999997,279.56030999999996,10.328968650303247,158.925,154.52312500000002,163.60062499999998,10.752325329899575,0.5302605210420841,0.5190355711422844,0.5421868737474951,0.026889733354219732,0.5090000000000001,0.5016975,0.5160025000000001,0.017149497460797365,-0.04423866647219017,-0.06185117140839199,-0.026461445223863754,0.0414326946562385,-0.007441004650564025,-0.025963805600350894,0.011669272152192791,0.04425393922201863,0.00952789942265067,-0.007486988942569094,0.0272960468886163,0.04238315534339039,-0.06193586983530956,-0.08607272070212821,-0.039803211916355434,0.0541582574394724,0.0,0.0,0.0,0.0
gate4.1-pilot-d2c14e240618,20,0.1,partial_reuse,20,500,200,20260820,0.00017452813931184168,-0.0024887580706790167,0.0028839401641261564,0.006500458474828621,0.20605774090966725,0.2036678765170424,0.20858683534421527,0.005846011166045114,0.20594963915500086,0.2035223618434729,0.208409265252302,0.005821455605234006,281.4244,276.658975,286.89486,12.000762600329768,161.4,156.14812500000002,166.775625,12.839699947305705,0.5563126252505011,0.5455886773547093,0.5677379759519038,0.02540222920816374,0.5058,0.4986974999999999,0.5128999999999999,0.01685729578113381,-0.09446025090535681,-0.11291955976668473,-0.07571764208846594,0.04436917942847141,-0.0019914452969492127,-0.020383495328859177,0.016770043678864775,0.04459068742868395,0.009885541273670823,-0.008854114920022447,0.029798906011840296,0.046703285961130346,-0.11373950152676518,-0.1369045916714112,-0.09346406736535336,0.05128532148071009,0.0,0.0,0.0,0.0
