replicate,m,h,gamma_tilde,gamma_se,target,F_plus,F_plus_se,F_minus,F_minus_se,derivative,derivative_se,discrepancy,combined_se
0,5,0.025,10.167944132262768,0.025038844124546586,-9.167944132262768,-0.22633063295479725,0.0017459526947468439,0.2284896219763242,0.0017455276051951741,-9.096405098622428,0.04937698829532706,0.07153903364033987,0.055362719299274
0,10,0.025,7.080414333732028,0.016470736930857145,-6.080414333732028,-0.15027345524986055,0.0011452036472885828,0.1518582664410076,0.001144395350314521,-6.042634433817363,0.032379821565812046,0.037779899914665016,0.03632819868475904
0,20,0.025,4.250750664869493,0.009428348015033913,-3.250750664869493,-0.08024146612747696,0.0006557888047666094,0.08088561602617429,0.0006555950720727057,-3.2225416430730247,0.018545768843412604,0.028209021796468114,0.020804790032247084
0,50,0.025,2.3594373687639782,0.004671126238385583,-1.3594373687639782,-0.033457917118801785,0.00035806229593154476,0.03382342832943741,0.00035751798917532136,-1.3456269089647837,0.010119836369264758,0.013810459799194597,0.011145874056153155
0,75,0.025,1.962055643644474,0.003630343872850507,-0.962055643644474,-0.02360863007242109,0.0003050242150358924,0.024055474723847767,0.0003045552379113431,-0.953282095925377,0.008620757848298423,0.008773547719096997,0.009353975759758097
0,100,0.025,1.7757972416877772,0.0031197214692579166,-0.7757972416877772,-0.019065130861030215,0.0002829050130684252,0.019378049068406615,0.00028239351322932734,-0.7688635985887365,0.007994531699436761,0.006933643099040654,0.008581678107401139
0,1,0.0125,15.869365744274331,0.04030552898283017,-14.869365744274331,-0.18719893443314403,0.0028307932078308665,0.18231927078095417,0.0028326769490729102,-14.780728208563927,0.16018713498061132,0.08863753571040434,0.1651800650196093
0,2,0.0125,13.251573387311607,0.033489184579345375,-12.251573387311607,-0.1532259969505782,0.0023607218861284285,0.15007445300951824,0.0023618033247144194,-12.132017998403857,0.1335731875386844,0.11955538890775053,0.13770737784532106
0,5,0.0125,10.167944132262768,0.025038844124546586,-9.167944132262768,-0.11523228550857731,0.001773291901382253,0.11231146734332317,0.0017743527150848406,-9.101750114076019,0.10034254710768972,0.0661940181867493,0.10341939119503786
0,10,0.0125,7.080414333732028,0.016470736930857145,-6.080414333732028,-0.07634117880311969,0.001163356182919025,0.0744566782962212,0.001164264596913486,-6.031914283973636,0.06583506251185058,0.04850004975839184,0.06786413361257015
0,20,0.0125,4.250750664869493,0.009428348015033913,-3.250750664869493,-0.040586050777392385,0.0006652644409819568,0.0398023443969588,0.0006655922521442411,-3.215535806974047,0.0376423128417897,0.03521485789544565,0.03880512159975484
0,50,0.0125,2.3594373687639782,0.004671126238385583,-1.3594373687639782,-0.017152585229278823,0.00036080024786746835,0.01638829090337986,0.0003620114999353096,-1.3416350453063475,0.020444232240772034,0.017802323457630775,0.020971076563914334
0,75,0.0125,1.962055643644474,0.003630343872850507,-0.962055643644474,-0.012235509473548022,0.0003063608747337244,0.011482803815969026,0.0003079085499548304,-0.9487325315806818,0.017374218173047053,0.01332311206379222,0.017749446576155035
0,100,0.0125,1.7757972416877772,0.0031197214692579166,-0.7757972416877772,-0.00988276300290586,0.0002835994127242715,0.009109401595769073,0.0002851778428186252,-0.7596865839469974,0.016087512122499793,0.0161106577407798,0.016387211731631667
1,1,0.1,15.90603396037985,0.04031870593695188,-14.90603396037985,-1.194293173804953,0.0021715615007709397,1.1916115385546697,0.002174942251037745,-11.929523561798113,0.015367216035264543,2.976510398581736,0.04314799389432712
1,2,0.1,13.264722553864644,0.03352626479725655,-12.264722553864644,-0.9774919894838833,0.0017920026999906106,0.9750123096944278,0.001793564184579487,-9.762521495891555,0.012676894494492646,2.502201057973089,0.03584290843779647
1,5,0.1,10.201654017361736,0.024989338980138852,-9.201654017361736,-0.7262700867852062,0.0013207497806496688,0.7254258723888316,0.0013222115508451761,-7.25847979587019,0.009344280828767072,1.9431742214915468,0.026679254990931642
1,10,0.1,7.095209169143058,0.016470795994721756,-6.095209169143058,-0.4803137520488863,0.000861582287815219,0.47981445098399267,0.000861620277700364,-4.800641015164395,0.006092441098651178,1.2945681539786635,0.01756146233205755
1,20,0.1,4.256880901020692,0.009434807427990839,-3.2568809010206916,-0.2572673267656371,0.0005169320340571272,0.25687097320527763,0.0005170491163609556,-2.570691499854574,0.003655675438835086,0.6861894011661178,0.010118278219014004
1,50,0.1,2.3589157991075433,0.004674572700225076,-1.3589157991075433,-0.10913628242386121,0.00032097437952098714,0.10916619456994411,0.00032040120558717944,-1.0915123849690267,0.002267606033080927,0.26740341413851665,0.005195542998662851
