layer,detector,family,family_class,m,arl,gamma,gamma_se,route_b_gamma,route_b_se,correspondence_verdict,mean_window_at_zero,origin_is_fixed_point,expected_short_correction,fixed_denominator_gain,gaussian_form_gain,stability_status,critical_rho
reduced,cusum@2,t3,THEOREM-SUPPORTED,1,29.119618333333335,4.78562641625216,0.009287538551023856,4.785501166139222,0.015403901501838497,PASS,0.002860048381495986,True,0.0,4.78562641625216,15.43827438101647,CLASSIFIED,0.26415707469360344
reduced,cusum@2,t3,THEOREM-SUPPORTED,2,29.119618333333335,3.4814357686602073,0.005559222014835407,3.490194099230887,0.009757975731486667,PASS,0.001335557462387702,True,0.041569134487368126,3.4398666341728394,8.77013125973481,CLASSIFIED,0.40299249838730516
reduced,cusum@2,t3,THEOREM-SUPPORTED,3,29.119618333333335,2.8655449924832213,0.0038345092492412,2.875927864963237,0.006592835774157025,PASS,0.0007839764477930562,True,0.08507849039570581,2.7804665020875157,6.405023795335267,CLASSIFIED,0.5360363883097256
reduced,cusum@2,t3,THEOREM-SUPPORTED,5,29.119618333333335,2.228483077703749,0.002492551161442108,2.235093324804195,0.004229329628203224,PASS,0.0004033828555806132,True,0.16802596518005744,2.0604571125236912,4.464088219551044,CLASSIFIED,0.8140120268235
reduced,cusum@2,t1p5,THEOREM-SUPPORTED,1,4.830219499999999,2.5656688390594646,0.05443413131259,2.4956982158272085,0.12172128137985122,PASS,0.05939590695171815,True,0.0,2.5656688390594646,18299.187145554413,CLASSIFIED,0.6387046705232534
reduced,cusum@2,t1p5,THEOREM-SUPPORTED,2,4.830219499999999,1.8960660909159106,0.027124492554365533,1.8618168170497704,0.061311441272104736,PASS,0.026007965162690078,True,0.19433262099873685,1.7017334699171738,10242.589726347996,CLASSIFIED,1.1159891107784847
reduced,cusum@2,t1p5,THEOREM-SUPPORTED,3,4.830219499999999,1.6512449094445827,0.025205945228277127,1.6197481097812974,0.040750407188537695,PASS,0.023546963313021127,True,0.36861065105676133,1.2826342583878214,9797.188184553568,CLASSIFIED,1.5355206397741439
reduced,cusum@2,t1p5,THEOREM-SUPPORTED,5,4.830219499999999,1.4803993563648452,0.02419623913626472,1.4517403498681227,0.02491823012995927,PASS,0.022872633506811405,True,0.619023675738099,0.861375680626746,9544.493082040311,CLASSIFIED,2.0816014566858363
reduced,cusum@2,skewnormal4,THEOREM-SUPPORTED,1,20.079075500000002,6.156321781668075,0.0045704064146292215,6.144970728372311,0.014933892374603684,PASS,1.370537244074406,False,0.0,6.156321781668075,5.10669691000582,FIXED-POINT-NOT-AT-ORIGIN,
reduced,cusum@2,skewnormal4,THEOREM-SUPPORTED,2,20.079075500000002,4.697431229563542,0.0030359646142171506,4.691877916400705,0.0106408987342277,PASS,0.7850421756267583,False,0.04877447949544252,4.6486567500681,3.8837284241470535,FIXED-POINT-NOT-AT-ORIGIN,
reduced,cusum@2,skewnormal4,THEOREM-SUPPORTED,3,20.079075500000002,3.8373363083724272,0.002469288160575968,3.8318475692169525,0.00776971850823656,PASS,0.5135784940744585,False,0.1126318339794083,3.7247044743930187,3.234687678931509,FIXED-POINT-NOT-AT-ORIGIN,
reduced,cusum@2,skewnormal4,THEOREM-SUPPORTED,5,20.079075500000002,2.822371628392318,0.0016969522447320762,2.819415997390877,0.005184081200109706,PASS,0.3170910480987538,False,0.2544946201351563,2.567877008257162,2.501014702483532,FIXED-POINT-NOT-AT-ORIGIN,
reduced,cusum@2,uniform,OUTSIDE-ASSUMPTIONS,1,19.898027333333335,0.0,0.0,6.994433396391267,0.010282091420717787,COUNTEREXAMPLE-CONFIRMED,-0.0007625430076162046,True,0.0,0.0,4.764979730926073,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,cusum@2,uniform,OUTSIDE-ASSUMPTIONS,2,19.898027333333335,0.0,0.0,6.325805222382225,0.00951800611273707,COUNTEREXAMPLE-CONFIRMED,-0.000770805393408239,True,0.0,0.0,4.327582068970178,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
